               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12336,            0.030783,                   0,            0.045209,              0.2069,            0.033718,           0.0065644,            0.088052,            0.023424,                   0,              0.0892,              0.0012,              0.0012
                   1,            0.093438,            0.031531,                   0,            0.027176,             0.24138,            0.073966,            0.028476,            0.059201,            0.021898,                   0,            0.077451,           0.0024505,           0.0024505
                   2,            0.074466,            0.029318,                   0,             0.19695,             0.17777,              0.2053,            0.074323,            0.052372,            0.020037,                   0,             0.06565,           0.0036495,           0.0036495
                   3,             0.06355,            0.028133,                   0,             0.42341,             0.51724,             0.40003,             0.13908,            0.048449,            0.017211,                   0,            0.053797,           0.0047971,           0.0047971
                   4,            0.069299,            0.025105,                   0,             0.29405,             0.63211,             0.32316,            0.076251,            0.048557,            0.014197,                   0,            0.041893,           0.0058931,           0.0058931
                   5,            0.062617,            0.024852,                   0,             0.33714,             0.34483,             0.28247,            0.081392,            0.058957,            0.012086,                   0,            0.029938,           0.0069377,           0.0069377
                   6,            0.061763,            0.020279,                   0,             0.70661,             0.62069,             0.75434,             0.41868,            0.048374,            0.013088,                   0,            0.017931,           0.0079308,           0.0079308
                   7,            0.056754,             0.02303,                   0,             0.73191,             0.75862,             0.81578,             0.32604,            0.045879,            0.012162,                   0,            0.008614,            0.008614,            0.008614
                   8,            0.047273,            0.021419,                   0,             0.85101,             0.78799,             0.88605,             0.41641,            0.051642,            0.010588,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.054289,            0.021257,                   0,              0.8511,             0.78858,             0.91832,             0.47065,            0.040996,            0.011583,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.051488,            0.019284,                   0,              0.9216,             0.81105,             0.93832,             0.42115,            0.039055,            0.011131,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.061857,            0.019309,                   0,             0.77756,             0.68966,             0.86866,             0.34444,            0.042057,            0.010308,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.051334,            0.017992,                   0,             0.86991,             0.86207,             0.92337,             0.50764,             0.04296,            0.009781,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.049892,            0.017879,                   0,             0.85304,             0.80085,             0.90047,             0.31095,            0.044446,           0.0087141,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.049318,            0.019451,                   0,             0.66305,             0.74666,             0.79347,             0.25131,            0.040609,           0.0085648,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.055824,            0.018042,                   0,             0.77135,              0.7931,             0.88146,             0.39871,            0.038388,           0.0088191,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.044262,            0.016711,                   0,             0.74061,             0.75862,             0.85102,              0.6203,            0.034542,           0.0076685,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.044782,            0.016802,                   0,              0.8393,             0.72049,             0.87861,             0.44972,             0.02936,           0.0080098,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.042614,             0.01473,                   0,             0.92427,             0.75862,             0.91911,             0.66097,            0.030715,           0.0071677,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.039812,            0.016446,                   0,             0.92192,             0.65517,             0.86613,             0.62417,            0.029671,           0.0066273,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.041128,             0.01502,                   0,             0.81404,             0.82759,             0.92963,             0.63743,            0.026765,           0.0064901,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.035652,            0.014013,                   0,             0.81641,             0.82759,             0.92256,              0.6751,            0.025122,            0.005886,                   0,             0.00604,             0.00604,             0.00604
                  22,             0.03651,            0.012227,                   0,             0.99006,                   1,               0.995,             0.80408,            0.020776,           0.0056437,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.033838,            0.011977,                   0,              0.8002,             0.82867,             0.93859,             0.55547,            0.026499,           0.0055901,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.031431,            0.012532,                   0,             0.88733,             0.81499,             0.94378,             0.78278,            0.025534,           0.0051841,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.034072,            0.013596,                   0,             0.72078,                   1,             0.89084,             0.53403,            0.021276,            0.005233,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.031997,            0.011773,                   0,             0.84947,             0.97315,             0.96434,             0.59641,            0.021372,             0.00518,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.028515,            0.010976,                   0,             0.99259,             0.96552,               0.994,             0.72658,             0.02134,           0.0049917,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.031317,            0.011071,                   0,                   1,             0.99363,               0.995,             0.70103,            0.018869,           0.0050275,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.032165,             0.01216,                   0,             0.88219,             0.93103,             0.97248,             0.51451,             0.02466,           0.0049723,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.026172,           0.0099786,                   0,             0.88873,             0.89655,             0.95317,             0.76437,            0.027258,           0.0048165,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.031901,            0.010978,                   0,                   1,             0.99634,               0.995,             0.86238,            0.016385,           0.0048757,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.025884,            0.011508,                   0,             0.93556,             0.86207,             0.97142,             0.78683,            0.021967,           0.0046173,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.029795,            0.010574,                   0,             0.99614,             0.96552,               0.994,              0.8343,            0.018889,           0.0046524,                   0,            0.003664,            0.003664,            0.003664
                  34,             0.02668,           0.0099976,                   0,             0.96038,             0.96552,             0.99115,             0.70483,            0.018329,           0.0046898,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.021864,             0.01038,                   0,             0.99593,             0.96552,               0.994,             0.82566,            0.017539,           0.0044279,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.026277,            0.010585,                   0,             0.99511,             0.96552,             0.99306,             0.85335,            0.015625,           0.0043969,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.024168,            0.011823,                   0,             0.99714,             0.96552,             0.99219,             0.86806,            0.017925,           0.0043951,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.020705,            0.009381,                   0,             0.99697,             0.96552,             0.98917,             0.82199,            0.017126,           0.0043741,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.021317,           0.0095039,                   0,             0.99649,             0.96552,             0.98986,             0.87512,            0.014012,           0.0042018,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.020589,           0.0094943,                   0,             0.99625,             0.96552,             0.98917,             0.85053,            0.017634,            0.004199,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.021071,           0.0098951,                   0,             0.99575,             0.96552,             0.98986,             0.83116,            0.014439,           0.0041087,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.021299,            0.011009,                   0,              0.9957,             0.96552,             0.98917,             0.86189,            0.015381,           0.0041267,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.021856,           0.0083702,                   0,             0.99643,             0.96552,             0.98917,             0.87929,            0.013413,           0.0040319,                   0,            0.001684,            0.001684,            0.001684
                  44,             0.02002,           0.0097455,                   0,             0.99667,             0.96552,             0.98986,             0.85062,            0.013853,           0.0039687,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.019953,           0.0093081,                   0,             0.99657,             0.96552,             0.99059,             0.88399,            0.014773,           0.0039108,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.017835,           0.0085385,                   0,             0.99627,             0.96552,             0.99136,             0.86037,            0.013975,           0.0038897,                   0,             0.00109,             0.00109,             0.00109
                  47,              0.0174,           0.0098906,                   0,             0.99579,             0.96552,             0.99059,             0.88711,            0.013338,           0.0038393,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.018482,           0.0085223,                   0,             0.99515,             0.96552,             0.99219,              0.8797,            0.013888,           0.0037906,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.018688,           0.0082616,                   0,             0.99501,             0.96552,             0.99219,             0.88816,            0.013345,           0.0037796,                   0,            0.000496,            0.000496,            0.000496
